ability_name,ability_type,ability_description
Gomu Gomu no Mi,Devil Fruit,"A Paramecia-type Devil Fruit that turns the user's body into rubber, granting elasticity and immunity to blunt attacks and lightning."
Mera Mera no Mi,Devil Fruit,"A Logia-type Devil Fruit that lets the user create, control, and transform into fire."
Hito Hito no Mi,Devil Fruit,"A Zoan-type Devil Fruit that allows the user to transform into a human or human hybrid, gaining intelligence and reasoning."
Armament,Haki,"A form of spiritual energy that the user channels to coat their body and attacks in an invisible armor, hardening strikes and defense and letting them hit intangible foes directly."
Observation,Haki,"A heightened sixth sense that lets the user perceive the presence, emotions, and intentions of others, and even foresee incoming attacks moments before they land."
Conqueror,Haki,A rare willpower-based ability that lets the user exert their spirit to overwhelm and knock out those with weaker resolve.
Black Leg,Physical Technique,"A powerful kick-based martial art that channels the user's entire fighting strength into the legs, keeping the hands free for cooking."
Rokushiki,Physical Technique,"A superhuman six-technique martial-arts style developed by the Marines, enabling feats like running through the air and iron-hard skin."
Fish-Man Karate,Physical Technique,"A martial art that uses water and palm strikes to send shockwaves through an opponent's body, devastating even on land."
Rubber Body,Devil Fruit,The user becomes elastic and stretches their limbs like rubber.
Flame Body,Devil Fruit,The user turns into living fire and launches burning blasts.
Smoke Body,Devil Fruit,"The user becomes smoke, slips through gaps, and surrounds enemies."
Sand Body,Devil Fruit,The user transforms into sand and dries anything they touch.
Ice Creation,Devil Fruit,The user freezes seawater and creates ice weapons from the air.
Lightning Form,Devil Fruit,The user becomes lightning and fires electric bolts.
Light Form,Devil Fruit,The user moves as light and releases laser-like beams.
Magma Creation,Devil Fruit,The user produces molten rock that burns through weapons and armor.
Venom Creation,Devil Fruit,The user secretes poison from their body and floods the area with toxins.
Shadow Control,Devil Fruit,The user steals shadows and controls animated bodies with them.
String Creation,Devil Fruit,"The user creates thin strings, controls targets, and slices objects from a distance."
Barrier Creation,Devil Fruit,The user creates transparent barriers that block attacks.
Gravity Control,Devil Fruit,The user changes gravity around targets and pulls meteors downward.
Room Operation,Devil Fruit,"The user creates a spherical field where they can swap, cut, and move objects freely."
Soul Manipulation,Devil Fruit,The user removes pieces of life force and places them into objects.
Flowering Limbs,Devil Fruit,The user sprouts extra arms and eyes from nearby surfaces.
Door Creation,Devil Fruit,"The user opens doors through walls, bodies, and even empty air."
Mirror World,Devil Fruit,The user travels through mirrors and traps opponents in reflected spaces.
Age Control,Devil Fruit,The user changes the age of themselves and other people by touch.
Hormone Control,Devil Fruit,The user changes bodies by injecting special hormones through their fingers.
Toy Transformation,Devil Fruit,The user turns living targets into toys and erases memory of them from others.
Book Prison,Devil Fruit,The user traps people and objects inside floating books.
Castle Body,Devil Fruit,The user turns their body into a living fortress that can store allies and weapons.
Magnetism Control,Devil Fruit,The user attracts and repels metal to build giant mechanical arms.
Clone Creation,Devil Fruit,The user creates wax-like copies and disguises them as other people.
Wax Creation,Devil Fruit,"The user produces hardened wax to form armor, keys, and restraints."
Bubble Washing,Devil Fruit,The user creates bubbles that wash away strength and make enemies slippery.
Slow Beam,Devil Fruit,The user fires a beam that slows anything it touches for a short time.
Silence Field,Devil Fruit,The user creates a zone where sounds cannot be heard.
Explosion Body,Devil Fruit,The user makes any part of their body explode without injury.
Weight Shift,Devil Fruit,The user changes their body weight from feather-light to crushingly heavy.
Blade Body,Devil Fruit,The user turns their limbs into sharp steel blades.
Spring Body,Devil Fruit,The user changes their legs into springs for explosive jumps.
Dice Body,Devil Fruit,The user turns their body into sharp dice-like segments.
Invisible Body,Devil Fruit,The user becomes invisible and hides nearby objects as well.
Memory Editing,Devil Fruit,The user pulls memories out like film and edits what a target remembers.
Art Transformation,Devil Fruit,The user turns enemies and objects into distorted works of art.
Jacket Possession,Devil Fruit,The user becomes a jacket and controls anyone who wears them.
Swamp Body,Devil Fruit,The user becomes bottomless mud and stores objects inside their body.
Snow Body,Devil Fruit,The user becomes snow and covers the battlefield with freezing powder.
Gas Body,Devil Fruit,"The user becomes gas, removes oxygen, and creates explosive chemical clouds."
Candy Creation,Devil Fruit,The user produces sticky candy syrup that hardens into restraints.
Biscuit Soldiers,Devil Fruit,The user creates and controls biscuit soldiers with hardened armor.
Mochi Body,Devil Fruit,The user becomes sticky mochi and reshapes their body to trap enemies.
Heat Control,Devil Fruit,The user raises their body temperature until contact causes burns.
Cold Spirit,Devil Fruit,The user releases chilling energy that freezes opponents on contact.
Luck Theft,Devil Fruit,The user steals good fortune from others and causes sudden accidents.
Clone Animal Form,Devil Fruit,"The user transforms into a wolf and gains claws, fangs, and animal senses."
Leopard Hybrid,Devil Fruit,The user transforms into a leopard-human hybrid with claws and speed.
Giraffe Hybrid,Devil Fruit,The user becomes a giraffe-human hybrid with a long neck and heavy strikes.
Bison Form,Devil Fruit,The user transforms into a massive bison and charges with great force.
Phoenix Form,Devil Fruit,The user turns into a phoenix and heals with blue flames.
Dragon Form,Devil Fruit,The user transforms into a dragon and flies while releasing elemental blasts.
Dinosaur Form,Devil Fruit,The user becomes an ancient dinosaur with heavy jaws and durability.
Mammoth Form,Devil Fruit,The user transforms into a mammoth and crushes enemies with tusks.
Spider Form,Devil Fruit,The user becomes a spider-like creature and traps enemies with webs.
Snake Form,Devil Fruit,The user transforms into a giant snake with venomous fangs.
Insect Form,Devil Fruit,The user becomes a horned insect with flight and piercing attacks.
Healing Tears,Devil Fruit,The user heals injuries through supernatural liquid produced from their body.
Rust Touch,Devil Fruit,The user corrodes metal weapons into rust by touching them.
Mark Target,Devil Fruit,The user touches a target and later redirects thrown objects toward that mark.
Spiritual Armor,Haki,The user coats their fist in invisible spiritual armor before striking.
Hardened Arm,Haki,The user hardens their arm with concentrated spirit and blocks a blade.
Blackened Fist,Haki,The user focuses spiritual energy until their fist becomes dark and metallic.
Weapon Imbuement,Haki,The user imbues a sword with spiritual force to increase cutting power.
Arrow Imbuement,Haki,The user loads spiritual force into an arrow before shooting.
Palm Guard,Haki,The user forms an unseen layer of energy around the palm to stop a punch.
Armor Flow,Haki,The user lets spiritual energy flow outward from the body instead of only hardening the skin.
Internal Shock,Haki,The user sends spiritual force through a target and damages it from the inside.
Touchless Strike,Haki,The user hits an opponent without direct contact by projecting force outward.
Spirit-Coated Kick,Haki,The user coats their leg in spiritual energy before kicking an armored opponent.
Invisible Wall,Haki,The user creates a defensive layer of willpower around their body.
Blade Protection,Haki,The user prevents their sword from breaking by coating it with spiritual energy.
Spirit Bullet,Haki,The user fires a projectile strengthened by focused willpower.
Armor Pierce,Haki,The user channels inner force through armor instead of trying to break the surface.
Will-Coated Staff,Haki,The user coats a staff in spiritual energy so it can strike intangible targets.
Observation Sense,Haki,The user senses nearby presences without using eyesight.
Emotion Reading,Haki,"The user detects fear, anger, and hesitation from people around them."
Intent Reading,Haki,The user reads hostile intent and moves before the attack begins.
Presence Map,Haki,The user feels the location of hidden enemies across the battlefield.
Future Glimpse,Haki,The user briefly sees the next movement an opponent will make.
Silent Detection,Haki,The user notices an enemy hiding behind a wall through spiritual perception.
Blindfold Dodge,Haki,The user dodges incoming strikes while blindfolded by sensing intent.
Sniper Awareness,Haki,The user senses a distant target and aims without direct line of sight.
Aura Tracking,Haki,The user tracks a fleeing opponent by following their presence.
Crowd Scan,Haki,The user identifies the strongest presence in a large crowd.
Danger Pulse,Haki,The user feels danger seconds before a weapon is fired.
Calm Perception,Haki,The user quiets their mind and reads the rhythm of nearby attacks.
Hidden Strength Sense,Haki,The user estimates an opponent’s strength from their presence.
Life Sense,Haki,The user feels living beings even when they are underground or behind obstacles.
Killing Intent Sense,Haki,The user notices the exact moment an enemy decides to attack.
Conqueror Burst,Haki,The user releases overwhelming willpower that knocks weaker enemies unconscious.
Royal Pressure,Haki,The user projects dominant spirit and makes opponents freeze in fear.
Intimidating Aura,Haki,The user stares down a crowd and causes the weakest members to collapse.
Willpower Clash,Haki,Two users clash with dominant spirits before their weapons touch.
Kingly Roar,Haki,The user shouts with such force of spirit that animals and enemies submit.
Spirit Suppression,Haki,The user suppresses weaker opponents through sheer presence.
Commanding Gaze,Haki,The user frightens an attacker into dropping their weapon without physical contact.
Domination Wave,Haki,The user sends out a wave of willpower that clears a battlefield of weak foes.
Focused Pressure,Haki,The user directs spiritual pressure at one target and overwhelms their resolve.
Crew-Wide Shock,Haki,The user releases a burst of willpower that makes multiple enemies pass out.
Aura Split,Haki,The user’s spirit clashes with another and cracks the air between them.
Advanced Coating,Haki,The user coats an attack with dominant willpower for a much stronger blow.
Will-Coated Blade,Haki,The user wraps a sword in dominant spirit before striking another weapon.
Supreme Clash,Haki,The user’s spirit-charged weapon collides with another and creates a shockwave.
Spirit Lightning,Haki,The user’s overwhelming will appears as black lightning around their strike.
No-Touch Clash,Haki,The user’s willpower-charged attack collides before physical contact happens.
Presence Concealment,Haki,The user quiets their spirit so enemies cannot easily sense them.
Calm Aura,Haki,The user keeps their spirit steady and avoids revealing panic.
Spiritual Counter,Haki,The user blocks an elemental body by striking with spiritual force.
Intangible Hit,Haki,The user lands a punch on an opponent that normal attacks would pass through.
Will Reinforcement,Haki,The user reinforces their body with willpower to endure a heavy blow.
Spirit Guard,Haki,The user covers their torso in invisible energy before taking a hit.
Focused Foresight,Haki,The user predicts the direction of a slash before the blade moves.
Micro Prediction,Haki,The user senses a shoulder twitch and knows where the next punch will land.
Breath Reading,Haki,The user reads the rhythm of an enemy’s breathing to anticipate motion.
Presence Echo,Haki,The user senses a hidden attacker from the echo of their spirit.
Heart Sense,Haki,The user detects panic and deception from the emotions of a target.
Intent Trap,Haki,The user waits until hostile intent spikes and then counters immediately.
Spiritual Impact,Haki,The user sends force into an enemy’s body without leaving an external wound.
Armor Burst,Haki,The user releases stored spiritual energy from their hand at the moment of impact.
Flowing Palm,Haki,The user projects inner energy through an open palm to break armor internally.
Emission Guard,Haki,The user pushes energy outward to stop a weapon before it reaches the skin.
Silent Sixth Sense,Haki,The user knows someone is standing behind them without hearing footsteps.
Long-Range Sense,Haki,The user senses an ally’s presence from far away.
Spiritual Pressure Step,Haki,The user’s presence makes weaker enemies hesitate before closing in.
Resolve Shock,Haki,The user’s sheer resolve sends a visible shock through nearby enemies.
Dominant Stare,Haki,The user knocks out a charging animal with a single glare.
Unseen Armor,Haki,The user blocks a cannonball with an invisible layer around the body.
Energy-Coated Grapple,Haki,The user grips an intangible opponent by wrapping the hand in spiritual energy.
Awareness Sphere,Haki,The user expands perception outward to monitor attacks from every side.
Future Counter,Haki,The user sees a future strike and counterattacks before it is thrown.
Aura Reading,Haki,The user reads the shape of an opponent’s aura to locate them in darkness.
Weapon Blackening,Haki,The user darkens a blade through spiritual reinforcement during combat.
Concentrated Will,Haki,The user focuses resolve into one blow instead of relying on muscle alone.
Spirit Pulse,Haki,The user releases a pulse of spiritual energy to stun weak enemies.
Empathy Sense,Haki,The user feels sadness and anger from people hidden nearby.
Battlefield Awareness,Haki,The user senses where every nearby fighter is moving.
Pressure Knockout,Haki,The user makes guards faint through overwhelming presence before fighting starts.
Dominant Coating,Haki,The user wraps a punch in kingly will and creates a shockwave on impact.
Spiritual Parry,Haki,The user parries a blade using force projected just beyond the hand.
Inner Break,Haki,The user bypasses tough skin and injures the target internally.
Willpower Shield,Haki,The user forms a shield-like layer from focused resolve.
Distant Intent Read,Haki,The user senses a sniper aiming from across the field.
Resolve Crush,Haki,The user’s presence overwhelms weak-minded attackers and stops their charge.
Spirit Detection,Haki,The user detects hidden life signs in a forest.
Emotion Scan,Haki,The user finds the frightened hostage by sensing emotional distress.
Intention Dodge,Haki,The user dodges because they sense the attacker’s intent before movement.
Kingly Impact,Haki,The user’s weapon releases a burst of dominant spirit on collision.
Aura Clash,Haki,The user’s willpower collides with another fighter’s aura in midair.
High-Speed Footwork,Physical Technique,The user moves quickly through trained footwork and leg power.
Spinning Kick,Physical Technique,The user spins and delivers a heavy kick to the opponent’s ribs.
Three-Sword Slash,Physical Technique,The user attacks with three swords at once using practiced swordsmanship.
Flying Slash,Physical Technique,The user swings a sword so hard that a cutting shockwave travels forward.
Iron Body Stance,Physical Technique,The user tightens every muscle to make the body resist impact.
Finger Pistol,Physical Technique,The user thrusts a finger with enough speed to pierce like a bullet.
Tempest Kick,Physical Technique,The user kicks the air hard enough to send a slicing pressure wave.
Moon Step,Physical Technique,The user kicks the air repeatedly to stay airborne.
Shave Step,Physical Technique,The user kicks off the ground many times in an instant to vanish from sight.
Paper Dodge,Physical Technique,The user relaxes the body and bends around attacks like paper.
Fish-Man Palm,Physical Technique,The user uses palm strikes to drive force through water in the target’s body.
Shoulder Throw,Physical Technique,The user uses leverage to flip a larger opponent over their shoulder.
Joint Lock,Physical Technique,The user traps the opponent’s arm and forces the joint past its limit.
Sweeping Kick,Physical Technique,The user knocks an opponent down with a low leg sweep.
Roundhouse Combo,Physical Technique,The user chains multiple roundhouse kicks without using weapons.
Axe Kick,Physical Technique,The user drops a heel downward with enough force to crack stone.
Knee Strike,Physical Technique,The user drives a knee into the opponent after closing distance.
Elbow Counter,Physical Technique,The user slips inside a punch and answers with a sharp elbow.
Boxing Flurry,Physical Technique,The user throws a rapid series of jabs and hooks.
Spear Thrust,Physical Technique,The user performs a precise spear thrust aimed at a weak point.
Staff Sweep,Physical Technique,The user sweeps multiple enemies with a long staff.
Dual Blade Style,Physical Technique,The user fights with two swords and alternates slashes from both sides.
Iaido Draw,Physical Technique,The user draws and cuts in one motion with extreme speed.
Heavy Club Swing,Physical Technique,The user swings a massive club using raw strength.
Shield Bash,Physical Technique,The user rams an opponent with a shield to break their stance.
Grapple Slam,Physical Technique,The user lifts the opponent and slams them into the ground.
Acrobatic Flip,Physical Technique,The user flips over an attack and lands behind the opponent.
Wall Run,Physical Technique,The user runs along a wall using momentum and balance.
Vault Kick,Physical Technique,The user vaults over a weapon and kicks during the landing.
Rapid Draw,Physical Technique,The user draws a blade faster than the opponent can react.
Pressure Point Strike,Physical Technique,The user hits a nerve cluster to numb an enemy’s limb.
Headbutt,Physical Technique,The user charges forward and strikes with the forehead.
Body Slam,Physical Technique,The user uses body weight to crush an opponent.
Backflip Dodge,Physical Technique,The user avoids a sweep with a quick backflip.
Handstand Kick,Physical Technique,The user balances on both hands and kicks in a circular motion.
Chain Whip,Physical Technique,The user controls a chain weapon with practiced timing.
Whip Sword,Physical Technique,The user bends a segmented blade around shields.
Spear Spin,Physical Technique,The user spins a spear to deflect incoming attacks.
Cross Guard,Physical Technique,The user crosses two blades to block a heavy strike.
Counter Cut,Physical Technique,The user waits for an opening and cuts during the opponent’s recovery.
Foot Sweep Combo,Physical Technique,The user uses repeated low kicks to break balance.
Shoulder Check,Physical Technique,The user drives the shoulder into the opponent’s chest.
Hammer Fist,Physical Technique,The user brings both fists down like a hammer.
Rising Uppercut,Physical Technique,The user launches an opponent upward with an uppercut.
Tornado Kick,Physical Technique,The user spins through the air and strikes with both legs.
Cartwheel Slash,Physical Technique,The user cartwheels while cutting with a blade.
Anchor Swing,Physical Technique,The user swings a heavy anchor as a blunt weapon.
Claw Technique,Physical Technique,The user scratches with hooked blades attached to the fingers.
Needle Throw,Physical Technique,The user throws needles at joints and tendons.
Boomerang Cut,Physical Technique,The user throws a curved blade that returns after striking.
Breath Control,Physical Technique,The user controls breathing to maintain stamina during a long fight.
Muscle Guard,Physical Technique,The user braces the abdomen to absorb a punch.
Explosive Start,Physical Technique,The user launches from a low stance into a sprint.
Sliding Dodge,Physical Technique,The user slides under a horizontal slash.
Hook Counter,Physical Technique,The user pivots and lands a hook after evading a jab.
Leg Lock,Physical Technique,The user traps both legs of an opponent and twists them down.
Hip Toss,Physical Technique,The user uses hip rotation to throw an attacker.
Palm Heel Strike,Physical Technique,The user strikes with the base of the palm to stun the chin.
Spinning Staff,Physical Technique,The user creates a defensive circle with a staff.
Sickle Slash,Physical Technique,The user uses a sickle weapon to hook and cut.
Hammer Swing,Physical Technique,The user swings a hammer in a wide arc.
Tackle Rush,Physical Technique,The user lowers their shoulder and drives forward in a tackle.
Aerial Axe Kick,Physical Technique,The user jumps high and drops a heel onto the target.
Blade Feint,Physical Technique,The user fakes a slash and attacks from the opposite side.
Double Kick,Physical Technique,The user lands two kicks before touching the ground.
Crane Stance,Physical Technique,The user balances on one leg and counters with fast kicks.
Bull Rush,Physical Technique,The user charges straight ahead with trained acceleration.
Reverse Grip Slash,Physical Technique,The user uses a reverse sword grip for close-range cuts.
Scissor Kick,Physical Technique,The user traps the opponent’s neck between both legs and twists.
Rope Snare,Physical Technique,The user throws a rope loop to bind the opponent’s arms.
Rolling Escape,Physical Technique,The user rolls out of a grab and returns to stance.
Diving Punch,Physical Technique,The user leaps from above and punches downward.
Whirlwind Blades,Physical Technique,The user spins with two blades and cuts nearby enemies.
Precision Throw,Physical Technique,The user throws a knife into a small exposed gap in armor.
Shield Counter,Physical Technique,The user blocks with a shield and immediately strikes back.
Heavy Stomp,Physical Technique,The user stomps hard enough to crack the floor.
Clinch Knee,Physical Technique,The user controls the opponent’s head and lands repeated knees.
Elbow Rush,Physical Technique,The user advances with short elbow strikes.
Low Guard Break,Physical Technique,The user attacks the legs until the opponent loses footing.
Blade Lock,Physical Technique,The user traps the opponent’s sword between two weapons.
Spear Vault,Physical Technique,The user plants a spear into the ground and vaults into a kick.
Knuckle Strike,Physical Technique,The user punches with metal knuckles to increase impact.
Deflection Step,Physical Technique,The user steps off-line and redirects a punch with the forearm.
Spiral Thrust,Physical Technique,The user twists the torso while thrusting a spear for extra force.
Rapid Foot Jab,Physical Technique,The user uses quick front kicks to keep an enemy away.
